SOMERS Bart,52.885
EL KAOUAKIBI Sihame,10.704
SCHILTZ Willem-Frederik,8.527
AMPE Els,3.851
PEETERS Lydia,23.728
KEULEN Marino,14.418
VAN CAUTER Carina,36.883
DE GUCHT Jean-Jacques,20.460
D'HOSE Stephanie,13.055
DE CROO Herman,18.406
RUTTEN Gwendolyn,44.866
VANDE REYDE Maurits,6.155
DE VROE Gwenny,12.162
TOMMELEIN Bart,35.265
TALPE Emmily,15.133
VAN VOLCEM Mercedes,13.074
DE WEVER Bart,242.386
HOMANS Liesbeth,40.480
VAN DIJCK Kris,21.369
DE RIDDER Annick,27.629
JOOSEN Sofie,14.416
VAN MIERT Paul,11.434
PERDAENS Freya,11.183
MUYTERS Philippe,18.800
KREKELS Kathleen,12.676
VAN WERDE Manuela,10.126
DE VEUSTER Maarten,10.026
VAN DER VLOET Tine,10.009
VANLOUWE Karl,3.034
TAVERNIER Annabel,1.439
VANDEPUT Steven,41.426
GROSEMANS Karolien,17.264
LANTMEETERS Jos,12.498
PEUMANS Jan,23.069
DIEPENDAELE Matthias,38.475
SMEYERS Sarah,24.454
DANIËLS Koen,19.256
SLEURS Elke,19.501
MEREMANS Marius,8.852
GRYFFROY Andries,7.639
WEYTS Ben,64.640
SMINATE Nadia,26.263
PARYS Lorin,21.929
DE BRUYN Piet,9.250
DE CONINCK Inez,13.229
CLAES Allessia,10.260
MAERTENS Bert,28.250
DE VREESE Maaike,14.810
RONSE Axel,12.185
VANDAELE Wilfried,13.583
COUDYSER Cathy,11.850
DEWINTER Filip,93.751
VAN DERMEERSCH Anke,21.966
CLAES Bart,9.897
VAN ROOY Sam,8.183
STERCKX Els,7.604
VERHEYDEN Wim,7.269
JANSSENS Chris,29.725
BECKERS Roosmarijn,11.639
PIETERS Leo,9.539
D'HAESELEER Guy,56.807
BLANCQUAERT Adeline,11.931
SLAGMULDER Kristof,12.675
BRUSSELMANS Filip,11.089
DECKMYN Johan,8.778
MALFROOT Ilse,11.191
SLOOTMANS Klaas,18.567
WOUTERS Suzy,8.530
LAEREMANS Jan,7.338
SINTOBIN Stefaan,28.217
DEFORCHE-DEGROOTE Lut,10.989
BUYSSE Yves,10.151
VEROUGSTRAETE-DESCHACHT Frieda,9.103
RYHEUL Carmen,8.534
VAN DEN HEUVEL Koen,36.825
ROMBOUTS Tinne,24.512
SCHRYVERS Katrien,12.311
VAN DE WAUWER Orry,5.436
CEYSSENS Lode,35.658
JANS Vera,15.866
VANDEURZEN Jo,24.717
SCHAUVLIEGE Joke,43.428
BOTHUYNE Robrecht,14.810
VAN PETEGHEM Vincent,12.650
DE RUDDER Maaike,8.906
VAN ROMPUY Peter,24.974
BROUWERS Karin,12.327
PARTYKA Katrien,10.752
CREVITS Hilde,130.912
DOCHY Bart,24.605
FOURNIER Martine,19.417
VANRYCKEGHEM Kurt,15.135
VANDROMME Loes,12.232
D'HAESE Jos,19.312
VANDECASTEELE Lise,8.680
DE WITTE Kim,11.853
DE MEESTER Tom,12.786
ALMACI Meyrem,50.848
ANNOURI Imade,12.744
PELCKMANS Gustaaf,6.392
VAN DEN BRANDE Tine,10.557
BEX Stijn,3.046
GROOTHEDDE Celia,3.031
DANEN Johan,7.172
RZOSKA Björn,16.056
SCHAUVLIEGE Mieke,13.109
MEULEMAN Elisabeth,11.867
MOERENHOUT An,18.806
STEENWEGEN Chris,5.654
DE MARTELAER Ann,7.280
VANEECKHOUT Jeremie,7.387
GENNEZ Caroline,24.630
ANAF Hannes,6.488
ROBEYNS Els,21.394
VANDENHOVE Ludwig,13.167
ROUSSEAU Conner,17.438
VAN DEN BOSSCHE Freya,16.497
DE LOOR Kurt,11.097
TOBBACK Bruno,19.284
SEGERS Katia,6.869
LAMBRECHT Annick,22.291
VANDENBERGHE Steve,13.106
VEYS Maxim,7.204
GOEMAN Hannelore,2.215
